direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl,capital_after
LONG,2026-01-31 19:00:00+00:00,0.10218,2026-01-31 19:15:00+00:00,0.10202673,SL,-0.15,-13.5217,9000.9573
SHORT,2026-02-06 18:00:00+00:00,0.0989,2026-02-06 18:15:00+00:00,0.0986033,TP,0.3,27.0029,9027.9602
LONG,2026-02-09 11:00:00+00:00,0.09329,2026-02-09 11:30:00+00:00,0.09315006,SL,-0.15,-13.5419,9014.4182
SHORT,2026-02-14 12:15:00+00:00,0.10011,2026-02-14 12:30:00+00:00,0.09980967,TP,0.3,27.0433,9041.4615
SHORT,2026-02-14 16:15:00+00:00,0.10305,2026-02-14 16:30:00+00:00,0.10320458,SL,-0.15,-13.5622,9027.8993
SHORT,2026-02-14 23:00:00+00:00,0.11192,2026-02-14 23:15:00+00:00,0.11208788,SL,-0.15,-13.5418,9014.3575
LONG,2026-02-20 14:00:00+00:00,0.09672,2026-02-20 14:15:00+00:00,0.09701016,TP,0.3,27.0431,9041.4005
SHORT,2026-02-25 16:00:00+00:00,0.10122,2026-02-25 16:15:00+00:00,0.10137183,SL,-0.15,-13.5621,9027.8384
LONG,2026-03-18 17:30:00+00:00,0.09445,2026-03-18 17:45:00+00:00,0.09430833,SL,-0.15,-13.5418,9014.2967
LONG,2026-03-22 00:30:00+00:00,0.09172,2026-03-22 00:45:00+00:00,0.09158242,SL,-0.15,-13.5214,9000.7752
LONG,2026-03-26 10:30:00+00:00,0.09168,2026-03-26 11:00:00+00:00,0.09154248,SL,-0.15,-13.5012,8987.2741
SHORT,2026-03-28 15:45:00+00:00,0.09404,2026-03-28 16:00:00+00:00,0.09418106,SL,-0.15,-13.4809,8973.7931
SHORT,2026-04-06 01:00:00+00:00,0.09193,2026-04-06 01:15:00+00:00,0.0920679,SL,-0.15,-13.4607,8960.3325
LONG,2026-04-06 23:45:00+00:00,0.09061,2026-04-07 00:00:00+00:00,0.09047408,SL,-0.15,-13.4405,8946.892
SHORT,2026-04-07 23:45:00+00:00,0.09493,2026-04-08 00:00:00+00:00,0.0950724,SL,-0.15,-13.4203,8933.4716
